ename,etname
通用授权卡,工具
安装,行为(机器行为、人类行为)
设备,物理施工元素
安装,行为(机器行为、人类行为)
管线,物理施工元素
相适应,行为(机器行为、人类行为)
位置,空间位置
明装,行为(机器行为、人类行为)
读卡器,物理施工元素
暗装,行为(机器行为、人类行为)
读卡器,物理施工元素
协调配合,行为(机器行为、人类行为)
安装方式,专有名词
安装,行为(机器行为、人类行为)
电子锁,物理施工元素
监控管理,行为(机器行为、人类行为)
控制中心,建筑
靠近,空间位置
位置,空间位置
接近,行为(机器行为、人类行为)
位置,空间位置
明确,行为(机器行为、人类行为)
工艺设计,属性名
相邻设置,行为(机器行为、人类行为)
紧急事件指挥室,空间
相邻设置,行为(机器行为、人类行为)
交接班室,空间
相邻设置,行为(机器行为、人类行为)
打印室,空间
玻璃隔断,属性值
紧急事件指挥室,空间
合设,行为(机器行为、人类行为)
线路,属性名
相邻设置,属性值
演示室,空间
不宜设在,属性值
中央控制室,空间
不宜设在,属性值
设备区,空间
敷设,行为(机器行为、人类行为)
控制中心,空间
接受,行为(机器行为、人类行为)
自动扶梯,物理工作成果
接受,行为(机器行为、人类行为)
自动人行道,物理工作成果
供电,行为(机器行为、人类行为)
自动扶梯,物理工作成果
上水平段,空间
倾斜区段,空间
下水平段,空间
倾斜区段,空间
避开,行为(机器行为、人类行为)
安装位置,空间位置
接受,行为(机器行为、人类行为)
电梯,物理工作成果
兼做,行为(机器行为、人类行为)
电梯,物理工作成果
不宜采用,属性值
井道顶部,空间位置
避开,行为(机器行为、人类行为)
安装位置,空间位置
接受,行为(机器行为、人类行为)
轮椅升降机,工具
不得作为,行为(机器行为、人类行为)
站台门,物理工作成果
结合,行为(机器行为、人类行为)
配置,属性名
结合,行为(机器行为、人类行为)
控制模式,属性名
不宜有,行为(机器行为、人类行为)
设置区域,空间
适应,行为(机器行为、人类行为)
防护等级,属性名
匹配,行为(机器行为、人类行为)
开、关过程时间,属性名
均应对应,属性值
位置,属性名
均应对应,属性值
数量,属性名
不应影响,行为(机器行为、人类行为)
站台门,物理工作成果
上传,行为(机器行为、人类行为)
重要状态,专有名词
上传,行为(机器行为、人类行为)
故障信息,专有名词
实现,行为(机器行为、人类行为)
监视系统,物理工作成果
接地,行为(机器行为、人类行为)
站台门,物理工作成果
综合治理,专有名词
车辆基地设计,行为(机器行为、人类行为)
靠近,行为(机器行为、人类行为)
动力房屋,建筑
结合,行为(机器行为、人类行为)
设计,行为(机器行为、人类行为)
合建组成,行为(机器行为、人类行为)
双周/三月检库,空间
合建组成,行为(机器行为、人类行为)
停车列检库(棚),空间
合建组成,行为(机器行为、人类行为)
定修库,空间
合建组成,行为(机器行为、人类行为)
检修厂房,建筑
预留,行为(机器行为、人类行为)
规模,属性名
合并设置,行为(机器行为、人类行为)
列车运转调度,行为(机器行为、人类行为)
合并设置,行为(机器行为、人类行为)
检修调度,行为(机器行为、人类行为)
合并设置,行为(机器行为、人类行为)
防灾调度,行为(机器行为、人类行为)
影响,行为(机器行为、人类行为)
活塞风,专有名词
两轨动态不平顺度,属性名
竖向变形差,属性名
桥墩,物理施工元素
撞击,行为(机器行为、人类行为)
汽车,物理施工元素
撞击力,属性名
车辆,物理施工元素
侵袭,行为(机器行为、人类行为)
动力大小,属性名
自动调整制,行为(机器行为、人类行为)
制动能量,属性名
吸收,行为(机器行为、人类行为)
多余能量,属性名
吸收,行为(机器行为、人类行为)
列车,物理施工元素
组成,行为(机器行为、人类行为)
单渡线,空间
增设,行为(机器行为、人类行为)
全线轨道部件,物理施工元素
统一,行为(机器行为、人类行为)
过渡方式,属性名
确定,行为(机器行为、人类行为)
长度,属性名
确定,行为(机器行为、人类行为)
有砟道床地段,空间
设计,行为(机器行为、人类行为)
位移观测桩,工具
设置,行为(机器行为、人类行为)
百米标,物理施工元素
设置,行为(机器行为、人类行为)
坡度标,物理施工元素
设置,行为(机器行为、人类行为)
曲线要素标,物理施工元素
设置,行为(机器行为、人类行为)
平面曲线起终点标,物理施工元素
设置,行为(机器行为、人类行为)
竖曲线起终点标,物理施工元素
设置,行为(机器行为、人类行为)
道岔编号标,物理施工元素
设置,行为(机器行为、人类行为)
站名称,物理施工元素
设置,行为(机器行为、人类行为)
桥号标,物理施工元素
设置,行为(机器行为、人类行为)
水位标,物理施工元素
设置,行为(机器行为、人类行为)
限速标,物理施工元素
设置,行为(机器行为、人类行为)
停车位置标,物理施工元素
设置,行为(机器行为、人类行为)
警冲标,物理施工元素
设置,行为(机器行为、人类行为)
标志,专有名词
制作,行为(机器行为、人类行为)
警冲标,物理施工元素
设,行为(机器行为、人类行为)
标志,专有名词
安装,行为(机器行为、人类行为)
电气设备,物理施工元素
地下使用,行为(机器行为、人类行为)
地铁外部电源方案,文件工作成果
设计,行为(机器行为、人类行为)
其他负荷接入,行为(机器行为、人类行为)
严禁,行为(机器行为、人类行为)
正极,专有名词
不应接地,行为(机器行为、人类行为)
负极,专有名词
不应接地,行为(机器行为、人类行为)
降压变电所,建筑
合建,行为(机器行为、人类行为)
牵引变电所,建筑
合建,行为(机器行为、人类行为)
运营高峰小时行车密度,属性名
计算确定,行为(机器行为、人类行为)
车辆编组,属性名
计算确定,行为(机器行为、人类行为)
车辆类型,属性名
计算确定,行为(机器行为、人类行为)
特性,属性名
计算确定,行为(机器行为、人类行为)
线路资料,文件工作成果
计算确定,行为(机器行为、人类行为)
牵引整流机组,物理施工元素
退出运行,行为(机器行为、人类行为)
牵引整流机组,物理施工元素
运行,行为(机器行为、人类行为)
供电分区,空间
双边供电,行为(机器行为、人类行为)
牵引变电所,建筑
退出运行,行为(机器行为、人类行为)
地上线接触网,物理工作成果
供电,行为(机器行为、人类行为)
控制电缆,物理施工元素
敷设,行为(机器行为、人类行为)
电力电缆,物理施工元素
敷设,行为(机器行为、人类行为)
接触网,物理施工元素
馈电,行为(机器行为、人类行为)
根数,属性名
计算确定,行为(机器行为、人类行为)
截面,属性名
计算确定,行为(机器行为、人类行为)
安装位置,空间位置
可靠接触确定,行为(机器行为、人类行为)
安装误差,属性名
可靠接触确定,行为(机器行为、人类行为)
开孔部位,空间位置
电缆,物理施工元素
孔洞处,空间位置
电缆,物理施工元素
开孔部位,空间位置
阻火封堵,行为(机器行为、人类行为)
孔洞处,空间位置
阻火封堵,行为(机器行为、人类行为)
照明负荷,专有名词
交叉配电,行为(机器行为、人类行为)
分组控制,行为(机器行为、人类行为)
交叉配电,行为(机器行为、人类行为)
电缆,物理施工元素
明敷,行为(机器行为、人类行为)
电力电缆,物理施工元素
明敷,行为(机器行为、人类行为)
通信、信号电缆,物理施工元素
明敷,行为(机器行为、人类行为)
电缆,物理施工元素
敷设,行为(机器行为、人类行为)
金属电缆支架,物理工作成果
防腐处理,行为(机器行为、人类行为)
杂散电流,专有名词
抑制,行为(机器行为、人类行为)
杂散电流,专有名词
减少,行为(机器行为、人类行为)
地铁外部,空间
杂散电流,专有名词
无砟道床,物理工作成果
非电气连接,行为(机器行为、人类行为)
其他结构钢筋,物理施工元素
非电气连接,行为(机器行为、人类行为)
金属管线,物理施工元素
非电气连接,行为(机器行为、人类行为)
接地装置,物理施工元素
非电气连接,行为(机器行为、人类行为)
排流设施,抽象施工元素
使用,行为(机器行为、人类行为)
变电所,建筑
接地装置,物理施工元素
直流牵引供电设备,物理施工元素
绝缘安装,行为(机器行为、人类行为)
具体位置,空间位置
确定,行为(机器行为、人类行为)
外露可导电部分,空间位置
接地,行为(机器行为、人类行为)
接触电位差,专有名词
降低,行为(机器行为、人类行为)
跨步电位差,专有名词
降低,行为(机器行为、人类行为)
通信设备,物理施工元素
供电,行为(机器行为、人类行为)
重要语音,专有名词
录音,行为(机器行为、人类行为)
录音设备,物理施工元素
集中设置,行为(机器行为、人类行为)
设备限界,属性名
侵入,行为(机器行为、人类行为)
车辆限界,属性名
超出,行为(机器行为、人类行为)
地铁光缆网,物理工作成果
建设,行为(机器行为、人类行为)
光缆数量,属性名
规划,行为(机器行为、人类行为)
容量,属性名
规划,行为(机器行为、人类行为)
光缆径路,属性名
规划,行为(机器行为、人类行为)
通信电缆,物理施工元素
敷设,行为(机器行为、人类行为)
光缆,物理施工元素
敷设,行为(机器行为、人类行为)
强电电缆,物理施工元素
敷设,行为(机器行为、人类行为)
光缆,物理施工元素
敷设,行为(机器行为、人类行为)
电力电缆同径路,抽象施工元素
敷设,行为(机器行为、人类行为)
无线通信系统车载台,物理施工元素
布置,行为(机器行为、人类行为)
地铁公务电话交换网络,物理工作成果
统一规划,行为(机器行为、人类行为)
地铁公务电话交换网络,物理工作成果
分期实施,行为(机器行为、人类行为)
数据信息业务功能,属性名
预留,行为(机器行为、人类行为)
所管辖范围,环境条件
公务电话交换机,物理施工元素
调度专用功能,行为(机器行为、人类行为)
保证,行为(机器行为、人类行为)
控制中心调度员,组织角色
视觉信息,专有名词
各车站值班员,组织角色
视觉信息,专有名词
列车司机,组织角色
视觉信息,专有名词
区域,空间
统一设置,行为(机器行为、人类行为)
地铁运营和管理,行为(机器行为、人类行为)
信息平台,抽象施工元素
办公自动化软件平台,抽象施工元素
建设,专有名词
建设,专有名词
统一规划,行为(机器行为、人类行为)
建设,专有名词
实施,行为(机器行为、人类行为)
移动通信引入,行为(机器行为、人类行为)
传输通道,抽象施工元素
集中监测告警系统,物理施工元素
传输通道,抽象施工元素
民用传输系统,抽象施工元素
合设,行为(机器行为、人类行为)
专用通信传输系统,抽象施工元素
合设,行为(机器行为、人类行为)
城市公安无线通信系统,抽象施工元素
公安无线通信引入系统,抽象施工元素
面积,属性名
确定,行为(机器行为、人类行为)
沟,物理工作成果
预留,行为(机器行为、人类行为)
槽,物理工作成果
预留,行为(机器行为、人类行为)
管,物理施工元素
预留,行为(机器行为、人类行为)
孔,物理工作成果
预留,行为(机器行为、人类行为)
维修频度,属性名
减少,行为(机器行为、人类行为)
车辆限界,属性名
超出,行为(机器行为、人类行为)
设备限界,属性名
侵入,行为(机器行为、人类行为)
信号设备,物理施工元素
协调,行为(机器行为、人类行为)
城市景观,环境条件
信号设备,物理施工元素
密钥系统,抽象施工元素
建立,行为(机器行为、人类行为)
车票制式标准,文件工作成果
建立,行为(机器行为、人类行为)
城市“一卡通”车票,工具
处理,行为(机器行为、人类行为)
接口,抽象施工元素
实现,行为(机器行为、人类行为)
三级网络,物理工作成果
互连,专有名词
清分系统,抽象施工元素
连接,行为(机器行为、人类行为)
“一卡通”系统,抽象施工元素
清分系统,抽象施工元素
中央计算机系统之间,空间位置
清分系统,抽象施工元素
充值金额,专有名词
选定,行为(机器行为、人类行为)
储值票,专有名词
充值,行为(机器行为、人类行为)
相关信息,属性名
查验,行为(机器行为、人类行为)
通信电缆,物理施工元素
敷设,行为(机器行为、人类行为)
电源电缆,物理施工元素
敷设,行为(机器行为、人类行为)
位置,空间位置
避开,行为(机器行为、人类行为)
面积,属性名
确定,行为(机器行为、人类行为)
自动灭火系统保护区,空间
显示,行为(机器行为、人类行为)
报警区域,空间
划分,行为(机器行为、人类行为)
等级,属性名
适应,行为(机器行为、人类行为)
气体自动灭火,专有名词
设,行为(机器行为、人类行为)
火灾探测器,物理施工元素
设置,行为(机器行为、人类行为)
设置位置,空间位置
结合设置,行为(机器行为、人类行为)
位置,空间位置
结合设置,行为(机器行为、人类行为)
车站消防控制室,建筑
结合设置,行为(机器行为、人类行为)
车站综合控制室,建筑
结合设置,行为(机器行为、人类行为)
消防控制室,建筑
集中设置,行为(机器行为、人类行为)
状态信息,属性名
显示,行为(机器行为、人类行为)
工作状态,属性名
控制,行为(机器行为、人类行为)
电源,抽象施工元素
供电,行为(机器行为、人类行为)
控制回路,抽象施工元素
划分,行为(机器行为、人类行为)
配电线路,抽象施工元素
划分,行为(机器行为、人类行为)
金属管,物理施工元素
穿,行为(机器行为、人类行为)
传输线路,抽象施工元素
水平敷设,行为(机器行为、人类行为)
管内,空间
穿入,行为(机器行为、人类行为)
事务数据管理,行为(机器行为、人类行为)
结合,行为(机器行为、人类行为)
线网运营控制中心,空间
有关信息,专有名词
综合监控系统,抽象施工元素
构建,行为(机器行为、人类行为)
专用传输网络,抽象施工元素
组建,行为(机器行为、人类行为)
仿真测试平台,抽象施工元素
设,行为(机器行为、人类行为)
其他功能,专有名词
增加,行为(机器行为、人类行为)
其他功能,专有名词
增加,行为(机器行为、人类行为)
其他功能,专有名词
增加,行为(机器行为、人类行为)
站台门,物理施工元素
监视,行为(机器行为、人类行为)
工业级网络,抽象施工元素
选择,行为(机器行为、人类行为)
控制产品,抽象施工元素
选择,行为(机器行为、人类行为)
接口,抽象施工元素
增减,行为(机器行为、人类行为)
车站数量,属性名
增减,行为(机器行为、人类行为)
上层信息管理系统功能,行为(机器行为、人类行为)
接入,行为(机器行为、人类行为)
有关信息,专有名词
提供,行为(机器行为、人类行为)
线网运营控制中心,建筑
有关信息,专有名词
专用传输网络,物理工作成果
组建,行为(机器行为、人类行为)
站台门的开关门状态,属性名
监视,行为(机器行为、人类行为)
重要的故障信息,专有名词
监视,行为(机器行为、人类行为)
上层信息管理系统,抽象施工元素
接入,行为(机器行为、人类行为)
相关信息,专有名词
获取,行为(机器行为、人类行为)
信息服务,行为(机器行为、人类行为)
提供,行为(机器行为、人类行为)
乘客,组织角色
信息服务,行为(机器行为、人类行为)
信息服务,专有名词
提供,行为(机器行为、人类行为)
乘客,组织角色
信息服务,专有名词
综合监控系统,抽象施工元素
集成,行为(机器行为、人类行为)
车站及中央级监控功能,属性值
实现,行为(机器行为、人类行为)
火灾模式指令,专有名词
发布,行为(机器行为、人类行为)
控制程序,抽象施工元素
执行,行为(机器行为、人类行为)
设备,物理工作成果
统一监控,行为(机器行为、人类行为)
车站自动或手动火灾模式指令,专有名词
接收,行为(机器行为、人类行为)
车站防烟、排烟模式,专有名词
执行,行为(机器行为、人类行为)
列车区间,空间
接收,行为(机器行为、人类行为)
火灾部位信息,属性名
接收,行为(机器行为、人类行为)
隧道防排烟模式,专有名词
执行,行为(机器行为、人类行为)
车站乘客导向标识系统,抽象施工元素
监控,行为(机器行为、人类行为)
应急照明系统,抽象施工元素
监控,行为(机器行为、人类行为)
各排水泵房危险水位,属性名
监视,行为(机器行为、人类行为)
环境相关参数,属性名
监测,行为(机器行为、人类行为)
设备,工具
统计,行为(机器行为、人类行为)
运行状况,属性名
统计,行为(机器行为、人类行为)
运行时间,属性名
统计,行为(机器行为、人类行为)
用能分类,行为(机器行为、人类行为)
实时计量,行为(机器行为、人类行为)
分项,行为(机器行为、人类行为)
实时计量,行为(机器行为、人类行为)
各用能系统,抽象施工元素
实时计量,行为(机器行为、人类行为)
大功率设备,工具
实时计量,行为(机器行为、人类行为)
能耗,属性名
统计分析,行为(机器行为、人类行为)
系统设备,物理工作成果
控制,行为(机器行为、人类行为)
应用软件,物理工作成果
开发,行为(机器行为、人类行为)
开放性接口,物理工作成果
提供,行为(机器行为、人类行为)
布置,行为(机器行为、人类行为)
管线,物理施工元素
电磁干扰,行为(机器行为、人类行为)
避免,行为(机器行为、人类行为)
电缆,物理施工元素
不应共用,属性值
同一根,属性值
不应敷设,属性值
屏蔽布线系统,抽象施工元素
采用,行为(机器行为、人类行为)
连续性,属性值
应保持,属性值
运营相关信息,专有名词
提供,行为(机器行为、人类行为)
新闻,专有名词
提供,行为(机器行为、人类行为)
天气预报,专有名词
提供,行为(机器行为、人类行为)
道路交通,专有名词
提供,行为(机器行为、人类行为)
公共信息,专有名词
提供,行为(机器行为、人类行为)
公益广告,专有名词
提供,行为(机器行为、人类行为)
优先处理,行为(机器行为、人类行为)
数据,专有名词
多类信息,专有名词
显示,行为(机器行为、人类行为)
时钟信息,专有名词
接收,行为(机器行为、人类行为)
本系统的时钟,专有名词
同步,行为(机器行为、人类行为)
标准时间信息,专有名词
提供,行为(机器行为、人类行为)
乘客,组织角色
标准时间信息,专有名词
列车到站时间,专有名词
提供,行为(机器行为、人类行为)
列车到站时间信息,专有名词
提供,行为(机器行为、人类行为)
乘客,组织角色
列车到站时间信息,专有名词
综合监控信息,专有名词
接受,行为(机器行为、人类行为)
外部信息源的信号,专有名词
接收,行为(机器行为、人类行为)
全面的,效用(充当形容词)
提供,行为(机器行为、人类行为)
实时的,效用(充当形容词)
提供,行为(机器行为、人类行为)
同一根金属套管,专有名词
不应敷设,属性值
运营管理模式,专有名词
相适应,行为(机器行为、人类行为)
门禁系统,物理工作成果
统一授权管理,行为(机器行为、人类行为)
统一的,效用(充当形容词)
遵循,行为(机器行为、人类行为)
实现,行为(机器行为、人类行为)
实现,行为(机器行为、人类行为)
线路,专有名词
实现,行为(机器行为、人类行为)
车站内,空间位置
实现,行为(机器行为、人类行为)
监控管理,行为(机器行为、人类行为)
明确,行为(机器行为、人类行为)
重要的,效用(充当形容词)
包括,行为(机器行为、人类行为)
设备用房,建筑
包括,行为(机器行为、人类行为)
管理用房,建筑
包括,行为(机器行为、人类行为)
通道的门,物理工作成果
包括,行为(机器行为、人类行为)
中央控制室,专有名词
进入,行为(机器行为、人类行为)
门禁,专有名词
设置,行为(机器行为、人类行为)
综合监控,物理施工元素
集成,行为(机器行为、人类行为)
综合监控,物理施工元素
互联,行为(机器行为、人类行为)
任意,效用(充当形容词)
打开,行为(机器行为、人类行为)
安全区域,空间位置
安装,行为(机器行为、人类行为)
运营管理模式,专有名词
相适应,行为(机器行为、人类行为)
公共区,空间
明装,行为(机器行为、人类行为)
公共区,空间
暗装,行为(机器行为、人类行为)
建筑装修,行为(机器行为、人类行为)
协调配合,行为(机器行为、人类行为)
门扇,工具
作用,行为(机器行为、人类行为)
变形,专有名词
门扇,工具
单条或多条,属性值
监控管理,行为(机器行为、人类行为)
地铁线路,建筑
靠近,空间位置
车站,建筑
靠近,空间位置
监控管理对象,组织角色
接近,行为(机器行为、人类行为)
功能定位,属性名
明确,行为(机器行为、人类行为)
建设规模,属性名
明确,行为(机器行为、人类行为)
运营管理模式,属性名
明确,行为(机器行为、人类行为)
组织架构,属性名
明确,行为(机器行为、人类行为)
定员数量,属性名
明确,行为(机器行为、人类行为)
中央控制室,空间
相邻设置,行为(机器行为、人类行为)
中央控制室,空间
玻璃隔断,属性值
专业系统,专有名词
合设,行为(机器行为、人类行为)
中央控制室,空间
相邻设置,属性值
紧急事件指挥室,空间
相邻设置,属性值
高层建筑,建筑
不宜设在,属性值
管线,专有名词
敷设,行为(机器行为、人类行为)
环境与设备监控系统,物理施工元素
接受,行为(机器行为、人类行为)
自动扶梯,物理工作成果
下水平段,空间
结构诱导缝,专有名词
避开,行为(机器行为、人类行为)
变形缝,专有名词
避开,行为(机器行为、人类行为)
车站BAS,专有名词
接受,行为(机器行为、人类行为)
消防梯,物理工作成果
兼做,行为(机器行为、人类行为)
透明结构形式,专有名词
不宜采用,属性值
土建结构,专有名词
避开,行为(机器行为、人类行为)
BAS的监视,行为(机器行为、人类行为)
接受,行为(机器行为、人类行为)
站台门系统,物理工作成果
安装,行为(机器行为、人类行为)
维护,行为(机器行为、人类行为)
站台侧,空间
维修,行为(机器行为、人类行为)
站台侧,空间
防火隔离装置,专有名词
不得作为,行为(机器行为、人类行为)
车站其他系统,物理工作成果
结合,行为(机器行为、人类行为)
变形缝,专有名词
不宜有,行为(机器行为、人类行为)
环境条件,环境条件
适应,行为(机器行为、人类行为)
列车门,物理工作成果
匹配,行为(机器行为、人类行为)
单边滑动门,物理工作成果
手动开启,行为(机器行为、人类行为)
列车客室门,物理工作成果
均应对应,属性值
列车司机出入,属性名
不应影响,行为(机器行为、人类行为)
本站车站控制室,空间
上传,行为(机器行为、人类行为)
控制中心,空间
上传,行为(机器行为、人类行为)
站台门系统,物理工作成果
监视,行为(机器行为、人类行为)
监视,行为(机器行为、人类行为)
实现,行为(机器行为、人类行为)
参数,属性名
下载,行为(机器行为、人类行为)
参数,属性名
修改,行为(机器行为、人类行为)
接地端子,物理施工元素
接地,行为(机器行为、人类行为)
废气,专有名词
综合治理,专有名词
废液,专有名词
综合治理,专有名词
废渣,专有名词
综合治理,专有名词
噪声,专有名词
综合治理,专有名词
负荷中心,建筑
靠近,行为(机器行为、人类行为)
当地的环境要求,属性名
结合,行为(机器行为、人类行为)
运用库,空间
合建组成,行为(机器行为、人类行为)
联合检修库,空间
合建组成,行为(机器行为、人类行为)
远期发展条件,属性名
预留,行为(机器行为、人类行为)
车辆段调度中心(DCC),空间
合并设置,行为(机器行为、人类行为)
雨水,专有名词
技术措施,抽象施工元素
车站控制室,空间
排水设备,抽象施工元素
活塞通风道,物理工作成果
布置,行为(机器行为、人类行为)
噪声,属性名
通风、空调设备,物理施工元素
工程安全风险设计,文件工作成果
地下结构设计,文件工作成果
边坡,物理施工元素
加固措施,抽象施工元素
进风亭口部,空间位置
排烟风亭口部,空间位置
出入口口部,空间位置
排烟风亭口部,空间位置
楼梯第一级踏步,空间位置
自动扶梯工作点,空间位置
撞击,行为(机器行为、人类行为)
汽车,物理施工元素
桥墩,物理施工元素
撞击力,属性名
环境,专有名词
施工中,专有名词
环境,专有名词
建成后,专有名词
周围环境,专有名词
城市规划,抽象施工元素
结构,抽象施工元素
改变,行为(机器行为、人类行为)
正线接触网,物理施工元素
主备两路电源,抽象施工元素
刚性架空接触网,物理工作成果
柔性架空接触网,物理工作成果
接触网架空地线,物理工作成果
非带电金属体,物理施工元素
牵引变电所接地装置,物理施工元素
接触网架空地线,物理工作成果
通信、信号电缆,物理施工元素
电力电缆,物理施工元素
通信、信号电缆,物理施工元素
电力电缆,物理施工元素
地铁隧道,建筑
直埋电缆,物理施工元素
行车广播,抽象施工元素
防灾广播,抽象施工元素
地铁范围内,空间
公安无线通信引入系统,抽象施工元素
车站,建筑
站台门监控系统,物理工作成果
站台门,物理工作成果
站台门,物理工作成果
相结合,效用(充当形容词)
日常维修,行为(机器行为、人类行为)
相结合,效用(充当形容词)
定期检修,行为(机器行为、人类行为)
定修库,空间
单独设置,属性值
一次建成,行为(机器行为、人类行为)
远期规模,属性名
安全风险因素,抽象施工元素
设计阶段,进程工作成果
各种风险,专有名词
设计阶段,进程工作成果
地下结构设施,抽象施工元素
新建结构,抽象施工元素
监控,行为(机器行为、人类行为)
地铁列车,建筑
地铁工程设计,文件工作成果
安全可靠,效用(充当形容词)
地铁工程设计,文件工作成果
功能合理,效用(充当形容词)
地铁工程设计,文件工作成果
经济适用,效用(充当形容词)
地铁工程设计,文件工作成果
节能环保,效用(充当形容词)
地铁工程设计,文件工作成果
技术先进,效用(充当形容词)
无人驾驶运行模式,行为(机器行为、人类行为)
列车运行,行为(机器行为、人类行为)
月平均温度,属性名
最大相对湿度,属性名
整备状态,专有名词
车辆,物理施工元素
坡道上,空间
列车,物理施工元素
受流,行为(机器行为、人类行为)
受流器,物理施工元素
受流,行为(机器行为、人类行为)
受电弓,物理施工元素
故障及紧急情况下,专有名词
车辆,物理施工元素
后,效用(充当形容词)
列车车门,物理工作成果
载荷大小,属性名
自动调整制,行为(机器行为、人类行为)
再生制动,行为(机器行为、人类行为)
列车,物理施工元素
轨道中心道床面,物理工作成果
应急疏散通道,空间
工程结构形式,属性名
隧道建筑限界,属性名
疏散平台,空间
区间,空间
同侧,空间位置
布置,行为(机器行为、人类行为)
车辆侧门疏散模式,行为(机器行为、人类行为)
高架区间,空间
功能定位,专有名词
地铁线路,专有名词
比较,行为(机器行为、人类行为)
特殊地形地区,空间
充分依据,效用(充当形容词)
特殊地形地区,空间
困难,效用(充当形容词)
线路,专有名词
排水措施,物理施工元素
区间地面线,空间
有砟道床地段,空间
坡段,空间
重叠,空间位置
缓和曲线,属性值
组合布置,行为(机器行为、人类行为)
道岔,物理施工元素
站后折返,专有名词
尽端站,建筑
车辆运行条件,属性名
设计,行为(机器行为、人类行为)
地段,空间
无轨底坡,物理施工元素
曲线地段,空间
标准轨距,属性名
无缓和曲线,空间
递减,行为(机器行为、人类行为)
长度不足,效用(充当形容词)
递减,行为(机器行为、人类行为)
范围内,空间位置
递减,行为(机器行为、人类行为)
困难地段,空间
超高,属性名
内,空间位置
递减,行为(机器行为、人类行为)
无缓和曲线,空间
递减,行为(机器行为、人类行为)
长度不足,效用(充当形容词)
递减,行为(机器行为、人类行为)
计算,行为(机器行为、人类行为)
确定,行为(机器行为、人类行为)
浮充状态,专有名词
蓄电池,物理施工元素
隔离开关处,空间位置
隧道入口,建筑
监测情况,专有名词
牵引变电所,建筑
基础,专有名词
增加,行为(机器行为、人类行为)
基础,专有名词
增加,行为(机器行为、人类行为)
基础,专有名词
增加,行为(机器行为、人类行为)
乘车过程中,行为(机器行为、人类行为)
乘客,组织角色
系统外部接口,专有名词
数据交换,行为(机器行为、人类行为)
系统处理,行为(机器行为、人类行为)
提供,行为(机器行为、人类行为)
环境与设备监控系统,抽象施工元素
综合监控系统,抽象施工元素
环境与设备监控系统,抽象施工元素
综合监控系统,抽象施工元素
火灾模式指令,专有名词
火灾工况,属性值
环境与设备监控系统,抽象施工元素
火灾工况,属性值
火灾情况,环境条件
设备,物理工作成果
工程,物理工作成果
系统软件,物理工作成果
提供,行为(机器行为、人类行为)
终端显示设备,物理施工元素
乘客,组织角色
提供,行为(机器行为、人类行为)
其他功能,行为(机器行为、人类行为)
运营管理的需要,属性名
只在一个门上,效用(充当形容词)
设置,行为(机器行为、人类行为)
一个房间有多个门,效用(充当形容词)
常用门,物理工作成果
失效,行为(机器行为、人类行为)
开门,行为(机器行为、人类行为)
根据需要,环境条件
读卡器,物理施工元素
地铁线网,物理工作成果
设置,行为(机器行为、人类行为)
一级负荷,专有名词
供电,行为(机器行为、人类行为)
每天,环境条件
不应少于20h,属性值
每周,环境条件
不应少于140h,属性值
每3h,环境条件
应能以100％制动载荷连续运行1h,属性值
产品要求,文件名
各支点,属性名
跨越时,环境条件
构造措施,专有名词
无法满足无机房电梯布置要求,效用(充当形容词)
液压电梯,专有名词
车站控制室,空间
功能,属性名
轿厢,空间
三方通话,行为(机器行为、人类行为)
控制柜,工具
三方通话,行为(机器行为、人类行为)
机房,空间
三方通话,行为(机器行为、人类行为)
液压电梯,物理工作成果
集油装置,物理工作成果
暴露于室外,环境条件
井道顶部,空间位置
产品要求,文件名
电梯井道,空间
土建工程,专有名词
产品要求,文件名
运行时,环境条件
占用宽度,属性名
具体土建情况,环境条件
停靠方式,属性名
站台侧,空间
便于,专有名词
跨越变形缝,环境条件
站台门,物理工作成果
一定范围内,环境条件
开、关过程时间,属性名
站台门,物理工作成果
列车停车精度,属性名
开、关门状态,专有名词
站台门,物理工作成果
30min内,属性值
完成开、关滑动门三次循环的需要,效用(充当形容词)
城市杂用水系统,抽象施工元素
使用要求,文件工作成果
排放,行为(机器行为、人类行为)
处理,行为(机器行为、人类行为)
排放,行为(机器行为、人类行为)
排放标准,文件工作成果
防水套管,物理施工元素
壁板或底板,物理施工元素
给水水源,专有名词
无城市自来水,属性值
两端,空间位置
影响,行为(机器行为、人类行为)
措施,抽象施工元素
失效,行为(机器行为、人类行为)
排除余热要求,文件工作成果
不能满足,行为(机器行为、人类行为)
困难,专有名词
布置,行为(机器行为、人类行为)
供应,行为(机器行为、人类行为)
空调系统,抽象施工元素
需供应,行为(机器行为、人类行为)
每个工作人员,专有名词
需供应,行为(机器行为、人类行为)
每小时,属性名
环境要求,文件工作成果
设备,物理施工元素
耐久性要求,文件工作成果
所处的环境,环境条件
耐久性要求,文件工作成果
工作条件,环境条件
施工阶段,进程工作成果
桥梁结构,抽象施工元素
施工荷载,属性名
桥梁结构,抽象施工元素
梁缝位置,空间位置
不能满足,行为(机器行为、人类行为)
能力保护原则,文件工作成果
桥墩抗震,属性名
顶梁,物理施工元素
更换支座,行为(机器行为、人类行为)
位置,空间位置
更换支座,行为(机器行为、人类行为)
车站结构横梁,物理施工元素
轨道梁简,物理施工元素
非机动车和机动车的停放场地,空间
需要,专有名词
